"Method","Name","Error","Occurrences"
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/587 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa36ecf8>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1907 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69109935c0>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1120 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6903dc4a90>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1941 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911c99320>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1759 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68faadd240>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/572 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69124c6ef0>: Failed to establish a new connection: [Errno 111] Connection refused',))",13
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/548 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910af4fd0>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/94 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910c19390>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/959 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68eb9629b0>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/16 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69031aac88>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
